recommendation_year,hunt_code,species,permit_category,section_title,hunt_name,weapon,sex_type,access_class,permit_split_type,resident_permits_prior_raw,nonresident_permits_prior_raw,total_permits_prior_raw,resident_permits_raw,nonresident_permits_raw,total_permits_raw,resident_permits_prior,nonresident_permits_prior,total_permits_prior,resident_permits,nonresident_permits,total_permits,source_type,source_authority_level,source_file,source_page_number
2026,DB1039,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Yellowstone,Muzzleloader,,Public,resident_nonresident,6,1,7,6,1,7,6,1,7,6,1,7,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1040,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Southwest Desert,Muzzleloader,,Public,resident_nonresident,4,1,5,4,1,5,4,1,5,4,1,5,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1041,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"Wasatch Mtns, East",Muzzleloader,,Public,resident_nonresident,27,3,30,30,3,33,27,3,30,30,3,33,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1042,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"West Desert, Vernon",Muzzleloader,,Public,resident_nonresident,41,5,46,46,5,51,41,5,46,46,5,51,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1043,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Zion,Muzzleloader,,Public,resident_nonresident,13,2,15,15,2,17,13,2,15,15,2,17,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1044,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Book Cliffs,Multiseason,,Public,resident_nonresident,6,1,7,8,1,9,6,1,7,8,1,9,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1045,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"Fillmore, Oak Creek LE",Multiseason,,Public,resident_nonresident,2,0,2,2,0,2,2,0,2,2,0,2,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1046,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"San Juan, Elk Ridge",Multiseason,,Public,resident_nonresident,2,0,2,2,0,2,2,0,2,2,0,2,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1047,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Diamond Mtn,Multiseason,,Public,resident_nonresident,3,0,3,4,0,4,3,0,3,4,0,4,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1048,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"West Desert, Vernon",Multiseason,,Public,resident_nonresident,6,1,7,7,1,8,6,1,7,7,1,8,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
