hunt_code,residency,point_level,applicants,bonus_permits,random_permits,total_permits,success_ratio_text
DB1005,Nonresident,31,0,0,0,0,N/A
DB1005,Nonresident,30,0,0,0,0,N/A
DB1005,Nonresident,29,1,0,0,0,N/A
DB1005,Nonresident,28,0,0,0,0,N/A
DB1005,Nonresident,27,0,0,0,0,N/A
DB1005,Nonresident,26,1,0,0,0,N/A
DB1005,Nonresident,25,3,0,0,0,N/A
DB1005,Nonresident,24,4,0,0,0,N/A
DB1005,Nonresident,23,4,0,0,0,N/A
DB1005,Nonresident,22,5,0,0,0,N/A
DB1005,Nonresident,21,5,0,0,0,N/A
DB1005,Nonresident,20,7,0,0,0,N/A
DB1005,Nonresident,19,9,0,0,0,N/A
DB1005,Nonresident,18,8,0,0,0,N/A
DB1005,Nonresident,17,9,0,0,0,N/A
DB1005,Nonresident,16,44,0,0,0,N/A
DB1005,Nonresident,15,27,0,0,0,N/A
DB1005,Nonresident,14,21,0,0,0,N/A
DB1005,Nonresident,13,15,0,0,0,N/A
DB1005,Nonresident,12,21,0,1,1,1 in 21.0
DB1005,Nonresident,11,17,0,0,0,N/A
DB1005,Nonresident,10,14,0,0,0,N/A
DB1005,Nonresident,9,21,0,0,0,N/A
DB1005,Nonresident,8,17,0,0,0,N/A
DB1005,Nonresident,7,18,0,0,0,N/A
DB1005,Nonresident,6,23,0,0,0,N/A
DB1005,Nonresident,5,19,0,0,0,N/A
DB1005,Nonresident,4,25,0,0,0,N/A
DB1005,Nonresident,3,17,0,0,0,N/A
DB1005,Nonresident,2,21,0,0,0,N/A
DB1005,Nonresident,1,16,0,0,0,N/A
DB1005,Nonresident,0,19,0,0,0,N/A
DB1005,Resident,32,0,0,0,0,N/A
DB1005,Resident,31,0,0,0,0,N/A
DB1005,Resident,30,0,0,0,0,N/A
DB1005,Resident,29,0,0,0,0,N/A
DB1005,Resident,28,0,0,0,0,N/A
DB1005,Resident,27,0,0,0,0,N/A
DB1005,Resident,26,0,0,0,0,N/A
DB1005,Resident,25,1,1,0,1,1 in 1.0
DB1005,Resident,24,9,3,0,3,1 in 3.0
DB1005,Resident,23,14,0,0,0,N/A
DB1005,Resident,22,6,0,0,0,N/A
DB1005,Resident,21,21,0,0,0,N/A
DB1005,Resident,20,12,0,0,0,N/A
DB1005,Resident,19,14,0,1,1,1 in 14.0
DB1005,Resident,18,18,0,0,0,N/A
DB1005,Resident,17,11,0,1,1,1 in 11.0
DB1005,Resident,16,13,0,0,0,N/A
DB1005,Resident,15,9,0,0,0,N/A
DB1005,Resident,14,18,0,1,1,1 in 18.0
DB1005,Resident,13,15,0,0,0,N/A
DB1005,Resident,12,22,0,1,1,1 in 22.0
DB1005,Resident,11,15,0,0,0,N/A
